CCF简称,全称,出版社,网址,领域,评级,DBLP简称
SecureComm,International Conference on Security and Privacy in Communication Networks,ACM,http://dblp.uni-trier.de/db/conf/securecomm/,网络与信息安全,C,securecomm
NSPW,New Security Paradigms Workshop,ACM,http://dblp.uni-trier.de/db/conf/nspw/,网络与信息安全,C,nspw
CT-RSA,"RSA Conference, Cryptographers' Track",Springer,http://dblp.uni-trier.de/db/conf/ctrsa/,网络与信息安全,C,ctrsa
SOUPS,Symposium On Usable Privacy and Security,ACM,http://dblp.uni-trier.de/db/conf/soups/,网络与信息安全,C,soups
SAC,Selected Areas in Cryptography,Springer,http://dblp.uni-trier.de/db/conf/sacrypt/,网络与信息安全,C,sacrypt
TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",IEEE,http://dblp.uni-trier.de/db/conf/trustcom/,网络与信息安全,C,trustcom
PAM,Passive and Active Measurement Conference,Springer,http://dblp.uni-trier.de/db/conf/pam/,网络与信息安全,C,pam
PETS,Privacy Enhancing Technologies Symposium,Springer,http://dblp.uni-trier.de/db/conf/pet/,网络与信息安全,C,pet
ICDF2C,International Conference on Digital Forensics & Cyber Crime,Springer,http://dblp.uni-trier.de/db/conf/icdf2c/,网络与信息安全,C,icdf2c
TOPLAS,ACM Transactions on Programming Languages & Systems,ACM,http://dblp.uni-trier.de/db/journals/toplas/,软件工程/系统软件/程序设计语言,A,toplas
TOSEM,ACM Transactions on Software Engineering Methodology,ACM,http://dblp.uni-trier.de/db/journals/tosem/,软件工程/系统软件/程序设计语言,A,tosem
TSE,IEEE Transactions on Software Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tse/,软件工程/系统软件/程序设计语言,A,tse
ASE,Automated Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ase/,软件工程/系统软件/程序设计语言,B,ase
ESE,Empirical Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ese/,软件工程/系统软件/程序设计语言,B,ese
TSC,IEEE Transactions on Service Computing,IEEE,http://dblp.uni-trier.de/db/journals/tsc/,软件工程/系统软件/程序设计语言,B,tsc
IETS,IET Software,IET,http://dblp.uni-trier.de/db/journals/iee/index.html,软件工程/系统软件/程序设计语言,B,iee
IST,Information and Software Technology,Elsevier,http://dblp.uni-trier.de/db/journals/infsof/index.html,软件工程/系统软件/程序设计语言,B,infsof
JFP,Journal of Functional Programming,Cambridge University Press,http://dblp.uni-trier.de/db/journals/jfp/,软件工程/系统软件/程序设计语言,B,jfp
,Journal of Software: Evolution and Process,Wiley,http://dblp.uni-trier.de/db/journals/smr/,软件工程/系统软件/程序设计语言,B,smr
JSS,Journal of Systems and Software,Elsevier,http://dblp.uni-trier.de/db/journals/jss/,软件工程/系统软件/程序设计语言,B,jss
RE,Requirements Engineering,Springer,http://dblp.uni-trier.de/db/journals/re/,软件工程/系统软件/程序设计语言,B,re
SCP,Science of Computer Programming,Elsevier,http://dblp.uni-trier.de/db/journals/scp/,软件工程/系统软件/程序设计语言,B,scp
SoSyM,Software and System Modeling,Springer,http://dblp.uni-trier.de/db/journals/sosym/,软件工程/系统软件/程序设计语言,B,sosym
SPE,Software: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/spe/,软件工程/系统软件/程序设计语言,B,spe
STVR,"Software Testing, Verification and Reliability",Wiley,http://dblp.uni-trier.de/db/journals/stvr/index.html,软件工程/系统软件/程序设计语言,B,stvr
CL,"Computer Languages, Systems and Structures",Elsevier,http://dblp.uni-trier.de/db/journals/cl/index.html,软件工程/系统软件/程序设计语言,C,cl
IJSEKE,International Journal on Software Engineering and Knowledge Engineering,World Scientific,http://dblp.uni-trier.de/db/journals/ijseke/index.html,软件工程/系统软件/程序设计语言,C,ijseke
STTT,International Journal on Software Tools for Technology Transfer,Springer,http://dblp.uni-trier.de/db/journals/sttt/,软件工程/系统软件/程序设计语言,C,sttt
JLAP,Journal of Logic and Algebraic Programming,Elsevier,http://dblp.uni-trier.de/db/journals/jlp/jlap.html,软件工程/系统软件/程序设计语言,C,jlp
JWE,Journal of Web Engineering,Rinton Press,http://dblp.uni-trier.de/db/journals/jwe/,软件工程/系统软件/程序设计语言,C,jwe
SOCA,Service Oriented Computing and Applications,Springer,http://dblp.uni-trier.de/db/journals/soca/,软件工程/系统软件/程序设计语言,C,soca
SQJ,Software Quality Journal,Springer,http://dblp.uni-trier.de/db/journals/sqj/,软件工程/系统软件/程序设计语言,C,sqj
TPLP,Theory and Practice of Logic Programming,Cambridge University Press,http://dblp.uni-trier.de/db/journals/tplp/,软件工程/系统软件/程序设计语言,C,tplp
FSE/ESEC,ACM SIGSOFT Symposium on the Foundation of Software Engineering/European Software Engineering Conference,ACM,http://dblp.uni-trier.de/db/conf/sigsoft/,软件工程/系统软件/程序设计语言,A,sigsoft
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",ACM,http://dblp.uni-trier.de/db/conf/oopsla/,软件工程/系统软件/程序设计语言,A,oopsla
ICSE,International Conference on Software Engineering,ACM/IEEE,http://dblp.uni-trier.de/db/conf/icse/,软件工程/系统软件/程序设计语言,A,icse
OSDI,USENIX Symposium on Operating Systems Design and Implementations,USENIX,http://dblp.uni-trier.de/db/conf/osdi/,软件工程/系统软件/程序设计语言,A,osdi
PLDI,ACM SIGPLAN Symposium on Programming Language Design & Implementation,ACM,http://dblp.uni-trier.de/db/conf/pldi/,软件工程/系统软件/程序设计语言,A,pldi
POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,ACM,http://dblp.uni-trier.de/db/conf/popl/,软件工程/系统软件/程序设计语言,A,popl
SOSP,ACM Symposium on Operating Systems Principles,ACM,http://dblp.uni-trier.de/db/conf/sosp/,软件工程/系统软件/程序设计语言,A,sosp
ASE,International Conference on Automated Software Engineering,IEEE/ACM,http://dblp.uni-trier.de/db/conf/kbse/,软件工程/系统软件/程序设计语言,A,kbse
ECOOP,European Conference on Object-Oriented Programming,AITO,http://dblp.uni-trier.de/db/conf/ecoop/,软件工程/系统软件/程序设计语言,B,ecoop
ETAPS,European Joint Conferences on Theory and Practice of Software,Springer,http://dblp.uni-trier.de/db/conf/etaps/,软件工程/系统软件/程序设计语言,B,etaps
FM,World Congress on Formal Methods,FME,http://dblp.uni-trier.de/db/conf/fm/,软件工程/系统软件/程序设计语言,B,fm
ICPC,IEEE International Conference on Program Comprehension,IEEE,http://dblp.uni-trier.de/db/conf/iwpc/,软件工程/系统软件/程序设计语言,B,iwpc
RE,IEEE International Requirement Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/re/,软件工程/系统软件/程序设计语言,B,re
CAiSE,International Conference on Advanced Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/caise/,软件工程/系统软件/程序设计语言,B,caise
ICFP,International Conference on Function Programming,ACM,http://dblp.uni-trier.de/db/conf/icfp/,软件工程/系统软件/程序设计语言,B,icfp
LCTES,"International Conference on Languages, Compilers, Tools and Theory for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/lctrts/,软件工程/系统软件/程序设计语言,B,lctrts
MoDELS,International Conference on Model Driven Engineering Languages and Systems,"ACM, IEEE",http://dblp.uni-trier.de/db/conf/models/,软件工程/系统软件/程序设计语言,B,models
CP,International Conference on Principles and Practice of Constraint Programming,Springer,http://dblp.uni-trier.de/db/conf/cp/,软件工程/系统软件/程序设计语言,B,cp
ICSOC,International Conference on Service Oriented Computing,Springer,http://dblp.uni-trier.de/db/conf/icsoc/,软件工程/系统软件/程序设计语言,B,icsoc
